rank,d_model,n_layers,n_heads,d_head,n_kv_heads,ffn_dim,weight_prec,ffn_prec,kv_bits,active_params_B,total_params_B,moe_style,n_experts,top_k,expert_dim,ep,predicted_loss,training_tps,serving_tbt_ms,memory_gb,confidence
140,9216,7,72,128,1,24576,bf16,fp8,8,6.55,6.55,dense,0,0,0,1,2.2792,34004,1.6,0.9,low
141,9216,7,144,64,1,24576,bf16,fp8,16,6.54,6.54,dense,0,0,0,1,2.2838,34336,1.5,0.9,low
142,9216,7,144,64,1,24576,bf16,fp8,8,6.54,6.54,dense,0,0,0,1,2.2939,34336,1.5,0.9,low
143,7680,9,120,64,30,20480,bf16,fp8,4,6.07,6.07,dense,0,0,0,1,2.3128,35137,1.8,0.9,low
144,10752,5,168,64,84,28672,bf16,fp8,16,7.05,7.05,dense,0,0,0,1,2.3251,34516,1.4,1.1,medium
145,7680,8,120,64,120,20480,bf16,fp8,4,6.15,6.15,dense,0,0,0,1,2.3256,34595,1.7,0.9,low
146,10752,5,168,64,42,28672,bf16,fp8,16,6.76,6.76,dense,0,0,0,1,2.3291,35290,1.3,1.0,medium
147,10752,5,168,64,21,28672,bf16,fp8,16,6.61,6.61,dense,0,0,0,1,2.3322,35690,1.3,1.0,low
148,10752,5,168,64,21,28672,bf16,fp8,8,6.61,6.61,dense,0,0,0,1,2.3424,35690,1.2,1.0,low
149,10752,5,168,64,1,28672,bf16,fp8,16,6.48,6.48,dense,0,0,0,1,2.3695,36095,1.2,1.0,low
150,9216,7,144,64,9,24576,bf16,fp8,4,6.61,6.61,dense,0,0,0,1,2.3726,34290,1.5,0.9,low
151,12288,4,96,128,48,32768,bf16,fp8,16,7.43,7.43,dense,0,0,0,1,2.3785,33872,1.2,1.2,medium
152,10752,5,168,64,1,28672,bf16,fp8,8,6.48,6.48,dense,0,0,0,1,2.3797,36095,1.2,1.0,low
153,10752,4,168,64,168,28672,bf16,fp8,16,6.24,6.24,dense,0,0,0,1,2.3802,37981,1.2,1.1,medium
154,9216,6,72,128,36,24576,bf16,fp8,4,6.2,6.2,dense,0,0,0,1,2.3822,38071,1.4,0.9,low
155,12288,4,96,128,24,32768,bf16,fp8,16,7.13,7.13,dense,0,0,0,1,2.3823,34835,1.2,1.1,medium
156,12288,4,96,128,12,32768,bf16,fp8,16,6.98,6.98,dense,0,0,0,1,2.3854,35470,1.1,1.1,medium
157,10752,4,168,64,168,28672,bf16,fp8,8,6.24,6.24,dense,0,0,0,1,2.3903,37981,1.1,1.0,medium
158,12288,4,96,128,12,32768,bf16,fp8,8,6.98,6.98,dense,0,0,0,1,2.3955,35470,1.1,1.1,medium
159,12288,4,192,64,12,32768,bf16,fp8,16,6.9,6.9,dense,0,0,0,1,2.4043,35526,1.1,1.0,low
160,12288,4,192,64,12,32768,bf16,fp8,8,6.9,6.9,dense,0,0,0,1,2.4144,35526,1.1,1.0,low
161,12288,4,96,128,1,32768,bf16,fp8,8,6.84,6.84,dense,0,0,0,1,2.4326,35573,1.1,1.0,low
162,12288,4,192,64,1,32768,bf16,fp8,16,6.83,6.83,dense,0,0,0,1,2.4372,35578,1.1,1.0,low
163,12288,4,192,64,1,32768,bf16,fp8,8,6.83,6.83,dense,0,0,0,1,2.4473,35578,1.1,1.0,low
164,10752,5,168,64,1,28672,bf16,fp8,4,6.48,6.48,dense,0,0,0,1,2.4915,36095,1.2,1.0,low
165,10752,4,168,64,168,28672,bf16,fp8,4,6.24,6.24,dense,0,0,0,1,2.5023,37981,1.1,1.0,low
