rank,selected,objective_profile,objective_score,d_model,n_layers,n_heads,d_head,n_kv_heads,ffn_dim,weight_prec,ffn_prec,activation_prec,kv_bits,active_params_B,total_params_B,architecture_family,attention_type,mla_kv_latent,mla_q_latent,nsa_select_top_k,nsa_window,csa_block,csa_top_k,csa_dim,indexshare_buckets,indexshare_top_k,indexshare_dim,msa_window,msa_dilated_top_k,msa_global_top_k,yoco_self_attn_layers,yoco_share_pattern,cp,cp_method,rope_method,rope_factor,mtp_depth,tp,pp,dp,state_layers,attention_layers,placement_strategy,local_attn_layers,local_window,moe_style,n_experts,top_k,expert_dim,ep,vocab_size,predicted_loss,loss_ci_low,loss_ci_high,uncertainty_total_pct,training_tps,training_tps_per_gpu,serving_tbt_ms,serving_ttft_ms,training_memory_gb,memory_gb,confidence
1157,False,serving_cost,18.46873870,8192,42,64,192,64,21888,bf16,bf16,bf16,8,31.477891,31.477891,dense,mla,512,1536,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,1,1,8,0,42,none,0,0,dense,0,0,0,1,256000,1.9223,1.7668,2.0777,8.09,4165,4165,160.6,64846.2,69.1,823.9,medium
1158,False,serving_cost,18.52509584,8192,44,32,192,32,21888,fp8,fp8,bf16,16,30.700929,30.700929,dense,mla,512,1536,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,1,1,8,0,44,none,0,0,dense,0,0,0,1,256000,1.9666,1.8045,2.1287,8.24,8409,8409,203.4,34129.4,60.7,907.1,medium
1159,False,serving_cost,18.58291833,7168,51,56,128,28,18944,bf16,bf16,bf16,8,32.307882,32.307882,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,4,1,8,0,51,none,0,0,dense,0,0,0,1,256000,1.9049,1.7522,2.0576,8.02,17755,4439,257.9,10132.4,17.5,528.0,medium
1160,False,serving_cost,18.65542620,7168,53,56,128,28,18944,fp8,fp8,bf16,8,31.599598,31.599598,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,4,1,8,0,53,none,0,0,dense,0,0,0,1,128256,1.9581,1.7977,2.1185,8.19,26073,6518,259.5,9594.4,15.3,536.3,medium
1161,False,serving_cost,18.67372973,7168,57,56,192,56,19072,bf16,fp8,bf16,8,32.199244,32.199244,dense,mla,512,1536,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,1,1,8,0,57,none,0,0,dense,0,0,0,1,256000,1.9135,1.7586,2.0684,8.10,5221,5221,153.7,72047.4,64.6,813.2,medium
1162,False,serving_cost,18.67344053,9216,34,72,192,72,24576,bf16,fp8,bf16,16,30.059237,30.059237,dense,mla,512,1536,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,1,1,8,0,34,none,0,0,dense,0,0,0,1,128256,1.9614,1.8023,2.1206,8.11,5955,5955,172.1,57078.6,61.7,895.3,medium
1163,False,serving_cost,18.75307143,13824,12,216,64,36,36864,bf16,bf16,bf16,8,27.243123,27.243123,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,1,1,8,0,12,none,0,0,dense,0,0,0,1,128256,2.4428,2.1792,2.7063,10.79,6441,6441,204.7,29373.0,63.3,1072.9,medium
1164,False,serving_cost,18.78652266,7168,59,56,192,56,19072,bf16,bf16,bf16,4,33.200269,33.200269,dense,mla,512,1536,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,1,1,8,0,59,none,0,0,dense,0,0,0,1,256000,1.9296,1.7693,2.0900,8.31,3701,3701,148.1,77819.8,72.1,782.4,medium
1165,False,serving_cost,18.81013239,11264,22,176,64,8,30080,bf16,bf16,bf16,16,28.91996,28.91996,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,1,1,8,0,22,none,0,0,dense,0,0,0,1,32000,2.2075,2.0128,2.4022,8.82,5182,5182,192.4,41378.0,65.8,994.6,low
1166,False,serving_cost,18.89307128,7168,53,56,128,28,18944,bf16,fp8,bf16,8,31.599598,31.599598,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,4,1,8,0,53,none,0,0,dense,0,0,0,1,128256,1.9147,1.7609,2.0685,8.03,22784,5696,262.7,9868.5,15.9,538.6,medium
