rank,selected,objective_profile,objective_score,d_model,n_layers,n_heads,d_head,n_kv_heads,ffn_dim,weight_prec,ffn_prec,activation_prec,kv_bits,active_params_B,total_params_B,architecture_family,attention_type,mla_kv_latent,mla_q_latent,nsa_select_top_k,nsa_window,csa_block,csa_top_k,csa_dim,indexshare_buckets,indexshare_top_k,indexshare_dim,msa_window,msa_dilated_top_k,msa_global_top_k,yoco_self_attn_layers,yoco_share_pattern,cp,cp_method,rope_method,rope_factor,mtp_depth,tp,pp,dp,state_layers,attention_layers,placement_strategy,local_attn_layers,local_window,moe_style,n_experts,top_k,expert_dim,ep,vocab_size,predicted_loss,loss_ci_low,loss_ci_high,uncertainty_total_pct,training_tps,training_tps_per_gpu,serving_tbt_ms,serving_ttft_ms,training_memory_gb,memory_gb,confidence
1,True,serving_cost,0.27499073,15360,10,120,128,1,40960,fp8,fp8,bf16,4,27.572613,27.572613,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,10,none,0,0,dense,0,0,0,1,128256,2.7190,2.3537,3.0843,13.43,73339,9167,2.8,1523.1,7.3,115.6,low
2,False,serving_cost,0.30277147,14336,13,112,128,1,37888,fp8,fp8,bf16,4,27.492463,27.492463,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,13,none,0,0,dense,0,0,0,1,32000,2.6088,2.3084,2.9091,11.51,63024,7878,3.5,1782.8,7.3,116.2,low
3,False,serving_cost,0.30592929,15360,11,120,128,8,40960,fp8,fp8,bf16,4,28.31189,28.31189,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,11,none,0,0,dense,0,0,0,1,65536,2.6519,2.3312,2.9726,12.09,66681,8335,3.1,1654.2,7.5,118.5,low
4,False,serving_cost,0.32117540,15360,9,240,64,16,40960,bf16,fp8,bf16,4,29.381376,29.381376,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,9,none,0,0,dense,0,0,0,1,256000,2.7136,2.3460,3.0812,13.55,68331,8541,2.7,1812.9,8.0,114.4,low
5,False,serving_cost,0.33395206,15360,10,240,64,8,40960,bf16,fp8,bf16,8,27.690578,27.690578,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,10,none,0,0,dense,0,0,0,1,128256,2.6366,2.2949,2.9783,12.96,61906,7738,3.0,1988.0,7.6,116.7,low
6,False,serving_cost,0.33475931,16384,7,64,256,1,44032,fp8,fp8,bf16,4,27.35548,27.35548,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,7,none,0,0,dense,0,0,0,1,256000,3.0193,2.5108,3.5278,16.84,90475,11309,2.8,1366.1,7.2,116.5,low
7,False,serving_cost,0.35194093,15360,9,120,128,8,40960,bf16,fp8,bf16,8,29.381376,29.381376,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,9,none,0,0,dense,0,0,0,1,256000,2.6790,2.3246,3.0334,13.23,72372,9047,3.6,1435.9,8.0,118.9,medium
8,False,serving_cost,0.35622653,15360,8,240,64,40,40960,fp8,fp8,bf16,4,27.368079,27.368079,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,8,none,0,0,dense,0,0,0,1,256000,2.8350,2.4253,3.2447,14.45,85040,10630,3.5,1599.5,7.2,115.6,low
9,False,serving_cost,0.35788784,15360,10,240,64,24,40960,fp8,fp8,bf16,4,28.005151,28.005151,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,10,none,0,0,dense,0,0,0,1,128256,2.6860,2.3406,3.0313,12.86,68525,8566,3.3,1943.6,7.4,118.2,low
10,False,serving_cost,0.36170852,16384,8,64,192,64,44032,fp8,fp8,bf16,4,27.271627,27.271627,dense,mla,512,1536,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,8,none,0,0,dense,0,0,0,1,256000,2.8577,2.4367,3.2788,14.73,78905,9863,3.6,1272.1,7.3,121.4,low
11,False,serving_cost,0.36313698,16384,8,128,128,1,44032,fp8,fp8,bf16,8,30.031479,30.031479,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,8,none,0,0,dense,0,0,0,1,256000,2.8940,2.4438,3.3442,15.56,82312,10289,3.2,1345.5,7.8,120.8,low
12,False,serving_cost,0.37072887,15360,12,120,128,8,40960,bf16,fp8,bf16,4,29.672448,29.672448,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,12,none,0,0,dense,0,0,0,1,32000,2.6000,2.3016,2.8984,11.48,54323,6790,3.6,1844.1,8.0,122.2,low
13,False,serving_cost,0.37110763,16384,7,128,128,1,44032,bf16,bf16,bf16,4,27.32612,27.32612,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,7,none,0,0,dense,0,0,0,1,256000,2.9772,2.4761,3.4783,16.83,58448,7306,3.2,1390.2,8.0,116.2,low
14,False,serving_cost,0.38116543,14336,11,112,128,16,37888,bf16,fp8,bf16,4,30.432088,30.432088,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,11,none,0,0,dense,0,0,0,1,256000,2.6139,2.2746,2.9531,12.98,65402,8175,4.3,1594.6,8.2,118.4,low
15,False,serving_cost,0.44045838,14336,12,112,128,1,37888,bf16,bf16,bf16,4,31.870763,31.870763,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,12,none,0,0,dense,0,0,0,1,256000,2.6021,2.2636,2.9405,13.01,43335,5417,4.6,1903.4,9.1,117.9,low
16,False,serving_cost,0.45228585,14336,13,112,128,1,37888,fp8,fp8,bf16,8,33.914991,33.914991,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,13,none,0,0,dense,0,0,0,1,256000,2.5736,2.2548,2.8924,12.39,62998,7875,4.8,1782.8,8.6,123.4,low
17,False,serving_cost,0.45635482,14336,10,112,128,1,37888,fp8,fp8,bf16,16,27.782308,27.782308,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,10,none,0,0,dense,0,0,0,1,256000,2.6558,2.3154,2.9963,12.82,81885,10236,5.7,1420.2,7.2,123.5,low
18,False,serving_cost,0.46497706,14336,14,112,128,1,37888,fp8,fp8,bf16,8,30.498234,30.498234,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,14,none,0,0,dense,0,0,0,1,65536,2.5746,2.2684,2.8809,11.89,58519,7315,5.2,1903.6,7.9,125.9,low
19,False,serving_cost,0.46708985,14336,11,112,128,8,37888,bf16,bf16,bf16,8,30.109127,30.109127,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,11,none,0,0,dense,0,0,0,1,256000,2.5041,2.2183,2.7898,11.41,47271,5909,5.3,1762.4,8.6,120.4,medium
20,False,serving_cost,0.48714848,16384,8,64,192,64,44032,bf16,bf16,bf16,4,27.271627,27.271627,dense,mla,512,1536,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,8,none,0,0,dense,0,0,0,1,256000,2.8102,2.3988,3.2215,14.64,48458,6057,4.9,1499.2,8.1,124.6,low
21,False,serving_cost,0.49663612,14336,12,112,128,8,37888,bf16,bf16,bf16,8,28.516368,28.516368,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,12,none,0,0,dense,0,0,0,1,128256,2.4561,2.1877,2.7245,10.93,43345,5418,5.8,1903.4,8.3,123.1,medium
22,False,serving_cost,0.50798928,14336,14,112,128,16,37888,bf16,fp8,bf16,4,33.067246,33.067246,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,14,none,0,0,dense,0,0,0,1,128256,2.4557,2.1802,2.7312,11.22,51411,6426,5.5,1971.8,8.7,127.4,low
23,False,serving_cost,0.51056305,16384,8,64,192,64,44032,fp8,fp8,bf16,8,27.271627,27.271627,dense,mla,512,1536,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,8,none,0,0,dense,0,0,0,1,256000,2.8368,2.4225,3.2511,14.61,78905,9863,5.5,1272.1,7.3,130.4,low
24,False,serving_cost,0.51885078,15360,12,120,128,8,40960,bf16,fp8,bf16,8,36.553728,36.553728,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,12,none,0,0,dense,0,0,0,1,256000,2.5712,2.2463,2.8961,12.64,54291,6786,4.8,1844.1,9.6,129.8,medium
25,False,serving_cost,0.53019919,15360,10,120,128,8,40960,bf16,fp8,bf16,16,27.847864,27.847864,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,10,none,0,0,dense,0,0,0,1,128256,2.6079,2.2833,2.9324,12.45,65167,8146,6.0,1572.0,7.6,131.7,medium
26,False,serving_cost,0.53151034,15360,13,120,128,8,40960,bf16,fp8,bf16,8,33.093458,33.093458,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,13,none,0,0,dense,0,0,0,1,65536,2.5672,2.2587,2.8757,12.02,50141,6268,5.2,1980.1,8.8,131.9,low
27,False,serving_cost,0.54358236,15360,13,120,128,8,40960,bf16,fp8,bf16,8,35.020216,35.020216,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,13,none,0,0,dense,0,0,0,1,128256,2.5236,2.2204,2.8269,12.02,50133,6267,5.2,1980.1,9.2,132.4,medium
28,False,serving_cost,0.57249793,14336,10,112,128,16,37888,bf16,bf16,bf16,8,28.33281,28.33281,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,10,none,0,0,dense,0,0,0,1,256000,2.5556,2.2521,2.8590,11.87,51498,6437,6.9,1627.2,8.2,126.9,medium
29,False,serving_cost,0.59100779,14336,12,112,128,8,37888,fp8,fp8,bf16,16,32.179044,32.179044,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,12,none,0,0,dense,0,0,0,1,256000,2.5833,2.2646,2.9020,12.34,68243,8530,6.8,1661.9,8.2,132.2,low
30,False,serving_cost,0.62915107,14336,13,112,128,8,37888,fp8,fp8,bf16,16,30.586286,30.586286,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,13,none,0,0,dense,0,0,0,1,128256,2.5352,2.2373,2.8331,11.75,63011,7876,7.4,1782.8,7.9,136.0,low
31,False,serving_cost,0.64744427,16384,7,128,128,16,44032,fp8,fp8,bf16,16,27.766522,27.766522,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,7,none,0,0,dense,0,0,0,1,256000,2.9432,2.4756,3.4108,15.89,93406,11676,7.0,1205.9,7.3,137.6,low
32,False,serving_cost,0.65588337,14336,9,112,128,56,37888,bf16,fp8,bf16,4,27.554738,27.554738,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,9,none,0,0,dense,0,0,0,1,256000,2.6547,2.3147,2.9946,12.80,74604,9326,8.1,1368.8,7.5,134.2,low
33,False,serving_cost,0.68472069,16384,7,64,256,4,44032,bf16,fp8,bf16,16,27.531641,27.531641,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,7,none,0,0,dense,0,0,0,1,256000,2.9252,2.4528,3.3976,16.15,80103,10013,7.1,1407.2,7.6,139.0,low
34,False,serving_cost,0.68610643,14336,14,112,128,16,37888,fp8,fp8,bf16,8,30.307394,30.307394,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,14,none,0,0,dense,0,0,0,1,32000,2.5649,2.2785,2.8513,11.16,58079,7260,8.0,1907.7,7.9,139.9,low
35,False,serving_cost,0.69673446,14336,14,112,128,1,37888,fp8,fp8,bf16,16,32.296542,32.296542,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,14,none,0,0,dense,0,0,0,1,128256,2.5305,2.2298,2.8312,11.88,58513,7314,8.0,1903.6,8.3,140.1,low
36,False,serving_cost,0.69762400,15360,11,120,128,8,40960,bf16,bf16,bf16,16,27.281664,27.281664,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,11,none,0,0,dense,0,0,0,1,32000,2.6290,2.3186,2.9394,11.81,41882,5235,7.9,1909.6,8.1,138.1,low
37,False,serving_cost,0.70014375,14336,14,112,128,8,37888,bf16,fp8,bf16,16,29.896352,29.896352,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,14,none,0,0,dense,0,0,0,1,32000,2.4579,2.2072,2.7086,10.20,52119,6515,8.2,1963.7,8.0,140.7,low
38,False,serving_cost,0.73830569,11264,19,88,128,8,29696,fp8,fp8,bf16,16,30.093511,30.093511,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,19,none,0,0,dense,0,0,0,1,256000,2.1868,1.9947,2.3790,8.79,62553,7819,10.2,1952.5,7.6,133.5,low
39,False,serving_cost,0.80192146,15360,8,120,128,40,40960,fp8,fp8,bf16,8,27.997225,27.997225,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,8,none,0,0,dense,0,0,0,1,256000,2.8009,2.4041,3.1976,14.16,88926,11116,9.5,1270.5,7.3,145.7,low
40,False,serving_cost,0.80820631,14336,11,112,128,56,37888,bf16,fp8,bf16,4,28.384219,28.384219,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,11,none,0,0,dense,0,0,0,1,128256,2.5244,2.2341,2.8146,11.50,61071,7634,9.9,1626.0,7.7,145.5,low
41,False,serving_cost,0.83083962,16384,8,64,192,64,44032,bf16,fp8,bf16,16,27.271627,27.271627,dense,mla,512,1536,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,8,none,0,0,dense,0,0,0,1,256000,2.7911,2.3862,3.1961,14.51,70423,8803,9.5,1315.4,7.6,149.6,medium
42,False,serving_cost,0.99877603,15360,10,120,128,40,40960,fp8,fp8,bf16,8,29.106156,29.106156,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,10,none,0,0,dense,0,0,0,1,128256,2.6428,2.3139,2.9717,12.44,71171,8896,11.8,1535.2,7.6,160.8,low
43,False,serving_cost,1.01820010,16384,10,64,192,64,44032,bf16,fp8,bf16,16,27.806466,27.806466,dense,mla,512,1536,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,10,none,0,0,dense,0,0,0,1,128256,2.6299,2.2954,2.9644,12.72,56371,7046,11.9,1591.3,7.6,163.6,medium
44,False,serving_cost,1.02732802,14336,13,112,128,16,37888,fp8,fp8,bf16,16,29.16966,29.16966,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,13,none,0,0,dense,0,0,0,1,65536,2.4857,2.2239,2.7475,10.53,62542,7818,12.6,1786.5,7.6,161.9,low
45,False,serving_cost,1.09656721,16384,11,64,192,64,44032,fp8,fp8,bf16,16,28.111634,28.111634,dense,mla,512,1536,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,11,none,0,0,dense,0,0,0,1,65536,2.6499,2.3273,2.9726,12.17,57418,7177,12.8,1669.8,7.6,169.8,low
46,False,serving_cost,1.17078232,14336,14,112,128,16,37888,fp8,fp8,bf16,16,36.729922,36.729922,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,14,none,0,0,dense,0,0,0,1,256000,2.4687,2.1934,2.7441,11.15,58056,7257,13.5,1907.7,9.2,168.7,low
47,False,serving_cost,1.28817989,15360,9,240,64,120,40960,fp8,fp8,bf16,8,27.297331,27.297331,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,9,none,0,0,dense,0,0,0,1,128256,2.7314,2.3651,3.0976,13.41,72982,9123,15.2,1786.7,7.2,175.7,low
48,False,serving_cost,1.41340723,11264,15,88,128,88,29696,bf16,fp8,bf16,4,28.432476,28.432476,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,15,none,0,0,dense,0,0,0,1,256000,2.2554,2.0453,2.4655,9.32,61089,7636,19.0,1693.8,7.5,174.0,low
49,False,serving_cost,1.62874972,11264,17,88,128,88,29696,bf16,fp8,bf16,4,28.5767,28.5767,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,17,none,0,0,dense,0,0,0,1,128256,2.2062,2.0070,2.4054,9.03,53919,6740,21.6,1891.4,7.6,187.5,low
50,False,serving_cost,2.24762440,15360,7,240,64,240,40960,fp8,fp8,bf16,8,27.682621,27.682621,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,7,none,0,0,dense,0,0,0,1,256000,2.9252,2.4671,3.3832,15.66,89128,11141,28.2,1550.9,7.2,207.9,low
51,False,serving_cost,4.27548788,16384,7,256,64,1,44032,fp8,fp8,bf16,4,27.223359,557.11495,moe,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,7,none,0,0,fine,384,8,4096,8,256000,3.0392,2.5083,3.5701,17.47,51053,6382,2.7,1648.0,115.2,117.8,low
52,False,serving_cost,4.87393505,12288,14,48,192,24,32768,fp8,fp8,bf16,8,24.909791,578.457256,moe,mla,512,1536,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,14,none,0,0,fine,384,8,3072,8,256000,2.3159,2.0911,2.5406,9.70,38937,4867,11.5,1663.5,119.3,134.2,low
53,False,serving_cost,5.24129277,12288,15,48,192,48,32768,bf16,fp8,bf16,4,21.558829,660.267442,moe,mla,512,1536,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,15,none,0,0,fine,384,8,3072,8,65536,2.3066,2.0864,2.5269,9.55,32772,4096,8.2,1821.2,136.1,122.2,low
54,False,serving_cost,5.26623767,12288,15,48,192,8,32768,fp8,fp8,bf16,8,26.239672,622.367711,moe,mla,512,1536,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,15,none,0,0,fine,384,8,3072,8,256000,2.2824,2.0658,2.4991,9.49,36280,4535,12.3,1766.5,128.3,138.7,low
55,False,serving_cost,0.27102555,11264,19,176,64,8,29696,fp8,fp8,bf16,4,29.874358,29.874358,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,19,none,0,0,dense,0,0,0,1,256000,2.2342,2.0240,2.4444,9.41,58200,7275,3.5,2533.8,7.5,100.2,low
56,False,serving_cost,0.32024460,11264,21,176,64,8,29696,fp8,fp8,bf16,4,29.53414,29.53414,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,21,none,0,0,dense,0,0,0,1,128256,2.2051,2.0010,2.4092,9.26,52667,6583,3.9,2778.3,7.5,103.1,low
57,False,serving_cost,0.35977501,10240,24,160,64,8,27648,bf16,fp8,bf16,4,30.912512,30.912512,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,24,none,0,0,dense,0,0,0,1,256000,2.1212,1.9316,2.3109,8.94,47886,5986,4.5,2910.2,8.0,99.8,low
58,False,serving_cost,0.36898965,11264,19,176,64,1,29696,bf16,fp8,bf16,8,29.6826,29.6826,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,19,none,0,0,dense,0,0,0,1,256000,2.2184,2.0077,2.4291,9.50,52910,6614,4.7,2582.8,7.8,106.1,low
59,False,serving_cost,0.38239951,15360,11,240,64,8,40960,bf16,fp8,bf16,4,33.989929,33.989929,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,11,none,0,0,dense,0,0,0,1,256000,2.6826,2.3083,3.0569,13.95,56261,7033,2.8,2165.6,9.0,118.0,low
60,False,serving_cost,0.40694097,10240,26,160,64,8,27648,bf16,fp8,bf16,4,30.435451,30.435451,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,26,none,0,0,dense,0,0,0,1,128256,2.1005,1.9148,2.2863,8.84,44212,5526,4.9,3135.1,7.9,102.0,low
61,False,serving_cost,0.42693521,11264,21,176,64,1,29696,bf16,fp8,bf16,8,29.322197,29.322197,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,21,none,0,0,dense,0,0,0,1,128256,2.1893,1.9855,2.3931,9.31,47884,5986,5.2,2832.5,7.7,109.3,low
62,False,serving_cost,0.43027337,11264,24,176,64,8,29696,fp8,fp8,bf16,4,33.340539,33.340539,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,24,none,0,0,dense,0,0,0,1,128256,2.1906,1.9892,2.3920,9.20,46085,5761,4.5,3144.9,8.3,107.8,low
63,False,serving_cost,0.43338171,15360,13,240,64,8,40960,bf16,fp8,bf16,4,32.888986,32.888986,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,13,none,0,0,dense,0,0,0,1,65536,2.6145,2.2845,2.9446,12.62,47631,5954,3.3,2520.9,8.7,122.1,low
64,False,serving_cost,0.44029943,14336,16,112,128,1,37888,fp8,fp8,bf16,4,33.625145,33.625145,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,16,none,0,0,dense,0,0,0,1,32000,2.5577,2.2691,2.8462,11.28,51207,6401,4.3,2145.3,8.6,123.9,low
65,False,serving_cost,0.44432548,11264,24,88,128,1,29696,fp8,fp8,bf16,4,30.964466,30.964466,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,24,none,0,0,dense,0,0,0,1,32000,2.2900,2.0775,2.5025,9.28,49539,6192,5.7,2410.7,7.8,113.5,low
66,False,serving_cost,0.44501838,14336,13,112,128,1,37888,bf16,bf16,bf16,4,28.454007,28.454007,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,13,none,0,0,dense,0,0,0,1,65536,2.5148,2.2284,2.8013,11.39,40017,5002,5.0,2044.3,8.3,119.6,low
67,False,serving_cost,0.44546173,15360,13,240,64,8,40960,bf16,fp8,bf16,4,34.815744,34.815744,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,13,none,0,0,dense,0,0,0,1,128256,2.5711,2.2465,2.8956,12.62,47624,5953,3.3,2520.9,9.2,122.6,low
68,False,serving_cost,0.45470802,10240,23,80,128,1,27648,bf16,bf16,bf16,4,29.662065,29.662065,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,23,none,0,0,dense,0,0,0,1,256000,2.1139,1.9247,2.3031,8.95,39383,4923,6.6,2349.7,8.3,106.4,low
69,False,serving_cost,0.45751740,11264,22,176,64,8,29696,bf16,fp8,bf16,8,29.389984,29.389984,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,22,none,0,0,dense,0,0,0,1,65536,2.1680,1.9762,2.3597,8.85,45712,5714,5.5,2957.3,7.7,110.9,low
70,False,serving_cost,0.45947761,11264,20,88,128,1,29696,bf16,bf16,bf16,4,30.970143,30.970143,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,20,none,0,0,dense,0,0,0,1,256000,2.2248,2.0130,2.4365,9.52,39231,4904,6.1,2293.5,8.7,110.4,low
71,False,serving_cost,0.45985053,15360,11,240,64,16,40960,bf16,fp8,bf16,8,28.31189,28.31189,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,11,none,0,0,dense,0,0,0,1,65536,2.6013,2.2891,2.9134,12.00,55945,6993,4.4,2168.8,7.7,124.9,low
72,False,serving_cost,0.46059562,14336,11,112,192,112,37888,fp8,fp8,bf16,4,28.383302,28.383302,dense,mla,512,1536,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,11,none,0,0,dense,0,0,0,1,256000,2.5638,2.2663,2.8613,11.60,59697,7462,4.7,2366.6,7.4,118.1,low
73,False,serving_cost,0.46151252,10240,27,160,64,8,27648,bf16,fp8,bf16,4,34.121216,34.121216,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,27,none,0,0,dense,0,0,0,1,256000,2.0812,1.8979,2.2644,8.81,42567,5321,5.1,3247.6,8.7,104.0,low
74,False,serving_cost,0.47617375,10240,28,80,128,1,27648,fp8,fp8,bf16,4,30.383063,30.383063,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,28,none,0,0,dense,0,0,0,1,32000,2.2193,2.0201,2.4185,8.98,48431,6054,6.4,2520.7,7.6,110.5,low
75,False,serving_cost,0.50189138,11264,21,88,128,8,29696,bf16,bf16,bf16,4,32.654178,32.654178,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,21,none,0,0,dense,0,0,0,1,256000,2.1653,1.9721,2.3584,8.92,37363,4670,6.5,2397.5,9.1,112.5,low
