rank,d_model,n_layers,n_heads,d_head,n_kv_heads,ffn_dim,weight_prec,ffn_prec,kv_bits,active_params_B,total_params_B,moe_style,n_experts,top_k,expert_dim,ep,predicted_loss,training_tps,serving_tbt_ms,memory_gb,confidence
170,4608,20,72,64,18,12288,bf16,fp8,16,4.75,4.75,dense,0,0,0,1,2.0739,33675,3.5,1.0,high
171,4608,19,72,64,36,12288,bf16,fp8,16,4.73,4.73,dense,0,0,0,1,2.0743,34823,3.6,1.3,high
172,4608,22,72,64,9,12288,bf16,fp8,8,5.08,5.08,dense,0,0,0,1,2.0778,31114,3.6,0.8,medium
173,4608,20,72,64,9,12288,bf16,fp8,16,4.65,4.65,dense,0,0,0,1,2.0778,34207,3.4,0.8,medium
174,9216,6,72,128,72,24576,bf16,bf16,8,4.67,36.26,fine,128,4,1536,1,2.0786,29213,1.9,9.2,medium
175,9216,6,72,128,72,24576,bf16,bf16,8,4.67,36.26,fine,128,4,1536,2,2.0786,25972,1.9,5.4,medium
176,9216,6,72,128,72,24576,bf16,bf16,8,4.67,36.26,fine,128,4,1536,4,2.0786,24893,1.9,3.5,medium
177,9216,6,72,128,72,24576,bf16,bf16,8,4.67,36.26,fine,128,4,1536,8,2.0786,24103,1.9,2.6,medium
178,6144,14,96,64,12,16384,bf16,bf16,16,5.81,5.81,dense,0,0,0,1,2.0789,16727,3.0,1.8,medium
179,4608,17,72,64,72,12288,bf16,fp8,16,4.63,4.63,dense,0,0,0,1,2.0794,35885,3.7,1.8,high
180,6144,12,48,128,24,16384,bf16,bf16,16,5.38,5.38,dense,0,0,0,1,2.0800,18957,3.0,2.0,high
181,6144,13,48,128,12,16384,bf16,bf16,8,5.55,5.55,dense,0,0,0,1,2.0822,17985,2.8,1.7,high
182,4608,21,72,64,9,12288,bf16,fp8,8,4.87,4.87,dense,0,0,0,1,2.0826,32587,3.5,0.7,medium
183,4608,19,72,64,36,12288,bf16,fp8,8,4.73,4.73,dense,0,0,0,1,2.0844,34823,3.3,1.0,high
184,6144,12,48,128,12,16384,bf16,bf16,16,5.15,5.15,dense,0,0,0,1,2.0848,19477,2.7,1.7,high
185,6144,13,48,128,24,16384,bf16,fp8,16,5.79,5.79,dense,0,0,0,1,2.0874,33499,2.8,1.4,medium
186,4608,20,72,64,9,12288,bf16,fp8,8,4.65,4.65,dense,0,0,0,1,2.0879,34207,3.3,0.7,medium
187,9216,6,72,128,72,24576,bf16,fp8,16,4.67,36.26,fine,128,4,1536,1,2.0888,47687,1.9,5.2,medium
188,9216,6,72,128,72,24576,bf16,fp8,16,4.67,36.26,fine,128,4,1536,2,2.0888,43521,1.9,3.3,medium
189,9216,6,72,128,72,24576,bf16,fp8,16,4.67,36.26,fine,128,4,1536,4,2.0888,42099,1.9,2.4,medium
190,9216,6,72,128,72,24576,bf16,fp8,16,4.67,36.26,fine,128,4,1536,8,2.0888,41010,1.9,1.9,medium
191,4608,17,72,64,72,12288,bf16,fp8,8,4.63,4.63,dense,0,0,0,1,2.0896,35885,3.3,1.2,high
192,6144,13,96,64,12,16384,bf16,bf16,16,5.42,5.42,dense,0,0,0,1,2.0902,18008,2.8,1.6,medium
193,6144,13,48,128,12,16384,bf16,fp8,16,5.55,5.55,dense,0,0,0,1,2.0923,34464,2.5,1.1,medium
194,6144,11,48,128,24,16384,bf16,bf16,16,4.96,4.96,dense,0,0,0,1,2.0944,20672,2.8,1.9,high
195,6144,12,48,128,12,16384,bf16,bf16,8,5.15,5.15,dense,0,0,0,1,2.0949,19477,2.6,1.6,high
196,9216,6,72,128,72,24576,bf16,fp8,8,4.67,36.26,fine,128,4,1536,1,2.0989,47687,1.6,4.8,medium
