rank,d_model,n_layers,n_heads,d_head,n_kv_heads,ffn_dim,weight_prec,ffn_prec,kv_bits,active_params_B,total_params_B,moe_style,n_experts,top_k,expert_dim,ep,predicted_loss,training_tps,serving_tbt_ms,memory_gb,confidence
219,3584,5,28,128,14,9600,bf16,fp8,16,0.94,0.94,dense,0,0,0,1,2.5067,64117,1.4,1.0,medium
220,3456,5,27,128,27,9216,bf16,fp8,8,0.94,0.94,dense,0,0,0,1,2.5115,63967,1.4,1.0,medium
221,3584,5,28,128,7,9600,bf16,fp8,16,0.91,0.91,dense,0,0,0,1,2.5151,66384,1.3,0.9,medium
222,3328,5,26,128,26,8832,bf16,fp8,8,0.88,0.88,dense,0,0,0,1,2.5179,68309,1.4,0.9,medium
223,3072,7,24,128,1,8192,bf16,fp8,8,0.86,0.86,dense,0,0,0,1,2.5184,64513,1.6,0.9,low
224,3584,5,28,128,7,9600,bf16,fp8,8,0.91,0.91,dense,0,0,0,1,2.5270,66384,1.3,0.9,medium
225,3328,6,26,128,1,8832,bf16,fp8,16,0.88,0.88,dense,0,0,0,1,2.5301,65651,1.5,0.9,low
226,3328,6,26,128,1,8832,bf16,fp8,8,0.88,0.88,dense,0,0,0,1,2.5420,65651,1.5,0.9,low
227,3840,4,30,128,30,10240,bf16,fp8,16,0.95,0.95,dense,0,0,0,1,2.5486,65742,1.3,1.1,medium
228,4096,4,32,128,16,10880,bf16,fp8,16,1.0,1.0,dense,0,0,0,1,2.5533,63101,1.3,1.1,medium
229,3712,4,29,128,29,9856,bf16,fp8,16,0.9,0.9,dense,0,0,0,1,2.5536,69801,1.2,1.0,medium
230,3840,4,30,128,30,10240,bf16,fp8,8,0.95,0.95,dense,0,0,0,1,2.5605,65742,1.2,1.0,medium
231,4096,4,32,128,8,10880,bf16,fp8,16,0.96,0.96,dense,0,0,0,1,2.5613,65398,1.2,1.0,medium
232,3840,4,30,128,15,10240,bf16,fp8,16,0.89,0.89,dense,0,0,0,1,2.5616,70261,1.2,1.0,medium
233,3584,5,28,128,1,9600,bf16,fp8,16,0.88,0.88,dense,0,0,0,1,2.5653,68460,1.3,0.9,low
234,3712,4,29,128,29,9856,bf16,fp8,8,0.9,0.9,dense,0,0,0,1,2.5655,69801,1.2,1.0,medium
235,4096,4,32,128,4,10880,bf16,fp8,16,0.95,0.95,dense,0,0,0,1,2.5702,66611,1.2,1.0,medium
236,3840,4,30,128,15,10240,bf16,fp8,8,0.89,0.89,dense,0,0,0,1,2.5735,70261,1.2,0.9,medium
237,3584,5,28,128,1,9600,bf16,fp8,8,0.88,0.88,dense,0,0,0,1,2.5772,68460,1.3,0.9,low
238,4096,4,32,128,1,10880,bf16,fp8,16,0.94,0.94,dense,0,0,0,1,2.6115,67550,1.2,1.0,low
239,3072,6,24,128,24,8192,bf16,fp8,4,0.88,0.88,dense,0,0,0,1,2.6141,65665,1.5,0.9,low
240,3968,4,31,128,1,10624,bf16,fp8,16,0.89,0.89,dense,0,0,0,1,2.6153,70913,1.1,0.9,low
241,3968,4,31,128,1,10624,bf16,fp8,8,0.89,0.89,dense,0,0,0,1,2.6272,70913,1.1,0.9,low
242,3328,5,26,128,26,8832,bf16,fp8,4,0.88,0.88,dense,0,0,0,1,2.6487,68309,1.3,0.9,low
243,3072,7,24,128,1,8192,bf16,fp8,4,0.86,0.86,dense,0,0,0,1,2.6492,64513,1.6,0.9,low
244,3328,6,26,128,1,8832,bf16,fp8,4,0.88,0.88,dense,0,0,0,1,2.6727,65651,1.5,0.9,low
245,3584,5,28,128,1,9600,bf16,fp8,4,0.88,0.88,dense,0,0,0,1,2.7081,68460,1.3,0.9,low
246,3968,4,31,128,1,10624,bf16,fp8,4,0.89,0.89,dense,0,0,0,1,2.7583,70913,1.1,0.9,low
