rank,d_model,n_layers,n_heads,d_head,n_kv_heads,ffn_dim,weight_prec,ffn_prec,kv_bits,active_params_B,total_params_B,moe_style,n_experts,top_k,expert_dim,ep,predicted_loss,training_tps,serving_tbt_ms,memory_gb,confidence
78,12288,4,96,128,12,32768,fp4,fp4,8,6.98,6.98,dense,0,0,0,1,3.0850,129122,0.5,0.5,medium
79,12288,4,192,64,12,32768,fp4,fp4,16,6.9,6.9,dense,0,0,0,1,3.0941,129418,0.5,0.5,low
80,9216,7,144,64,1,24576,fp4,fp4,4,6.54,6.54,dense,0,0,0,1,3.0960,121830,0.9,0.5,low
81,12288,4,192,64,12,32768,fp4,fp4,8,6.9,6.9,dense,0,0,0,1,3.1042,129418,0.5,0.5,low
82,12288,4,96,128,1,32768,fp4,fp4,16,6.84,6.84,dense,0,0,0,1,3.1125,129666,0.5,0.5,low
83,12288,4,96,128,1,32768,fp4,fp4,8,6.84,6.84,dense,0,0,0,1,3.1227,129666,0.5,0.5,low
84,12288,4,192,64,1,32768,fp4,fp4,16,6.83,6.83,dense,0,0,0,1,3.1272,129690,0.5,0.5,low
85,12288,4,192,64,1,32768,fp4,fp4,8,6.83,6.83,dense,0,0,0,1,3.1374,129690,0.5,0.5,low
86,12288,4,192,64,12,32768,fp4,fp4,4,6.9,6.9,dense,0,0,0,1,3.2158,129418,0.5,0.5,low
87,12288,4,192,64,1,32768,fp4,fp4,4,6.83,6.83,dense,0,0,0,1,3.2490,129690,0.5,0.5,low
