rank,d_model,n_layers,n_heads,d_head,n_kv_heads,ffn_dim,weight_prec,ffn_prec,kv_bits,active_params_B,total_params_B,moe_style,n_experts,top_k,expert_dim,ep,predicted_loss,training_tps,serving_tbt_ms,memory_gb,confidence
239,3264,6,51,64,1,8704,bf16,bf16,16,0.85,0.85,dense,0,0,0,1,2.5267,25129,1.8,1.7,medium
240,3584,5,28,128,7,9536,bf16,fp8,8,0.9,0.9,dense,0,0,0,1,2.5276,41401,1.2,0.9,medium
241,3328,6,26,128,1,8896,bf16,fp8,16,0.88,0.88,dense,0,0,0,1,2.5293,40982,1.3,0.9,low
242,3456,5,54,64,27,9216,bf16,fp8,16,0.88,0.88,dense,0,0,0,1,2.5300,43096,1.2,0.9,medium
243,3072,7,48,64,1,8192,bf16,fp8,8,0.86,0.86,dense,0,0,0,1,2.5361,40839,1.5,0.9,low
244,3584,5,56,64,7,9536,bf16,fp8,16,0.89,0.89,dense,0,0,0,1,2.5384,42289,1.2,0.9,low
245,3264,6,51,64,1,8704,bf16,bf16,8,0.85,0.85,dense,0,0,0,1,2.5386,25129,1.8,1.7,medium
246,3328,6,26,128,1,8896,bf16,fp8,8,0.88,0.88,dense,0,0,0,1,2.5412,40982,1.3,0.9,low
247,3456,5,54,64,27,9216,bf16,fp8,8,0.88,0.88,dense,0,0,0,1,2.5419,43096,1.2,0.9,medium
248,3328,6,52,64,1,8896,bf16,fp8,16,0.88,0.88,dense,0,0,0,1,2.5469,41118,1.3,0.9,low
249,3840,4,30,128,30,10240,bf16,fp8,16,0.95,0.95,dense,0,0,0,1,2.5486,41133,1.2,1.1,medium
250,3584,5,56,64,7,9536,bf16,fp8,8,0.89,0.89,dense,0,0,0,1,2.5503,42289,1.2,0.9,low
251,3264,6,51,64,1,8704,bf16,fp8,16,0.85,0.85,dense,0,0,0,1,2.5505,42607,1.3,0.9,low
252,4096,4,32,128,16,10944,bf16,fp8,16,1.0,1.0,dense,0,0,0,1,2.5528,39246,1.1,1.1,medium
253,3712,4,29,128,29,9920,bf16,fp8,16,0.9,0.9,dense,0,0,0,1,2.5531,43678,1.1,1.0,medium
254,3840,4,30,128,30,10240,bf16,fp8,8,0.95,0.95,dense,0,0,0,1,2.5605,41133,1.1,1.0,medium
255,4096,4,32,128,8,10944,bf16,fp8,16,0.97,0.97,dense,0,0,0,1,2.5608,40186,1.1,1.0,medium
256,3840,4,30,128,15,10240,bf16,fp8,16,0.89,0.89,dense,0,0,0,1,2.5616,44146,1.1,1.0,medium
257,3264,6,51,64,1,8704,bf16,fp8,8,0.85,0.85,dense,0,0,0,1,2.5624,42607,1.3,0.9,low
258,3584,5,28,128,1,9536,bf16,fp8,16,0.88,0.88,dense,0,0,0,1,2.5660,42947,1.2,0.9,low
259,4096,4,32,128,4,10944,bf16,fp8,16,0.95,0.95,dense,0,0,0,1,2.5696,41060,1.1,1.0,medium
260,3648,4,57,64,57,9728,bf16,fp8,16,0.87,0.87,dense,0,0,0,1,2.5733,45122,1.1,1.0,medium
261,3840,4,30,128,15,10240,bf16,fp8,8,0.89,0.89,dense,0,0,0,1,2.5735,44146,1.1,0.9,medium
262,3584,5,28,128,1,9536,bf16,fp8,8,0.88,0.88,dense,0,0,0,1,2.5779,42947,1.2,0.9,low
263,3584,5,56,64,1,9536,bf16,fp8,16,0.87,0.87,dense,0,0,0,1,2.5836,43081,1.2,0.9,low
264,3648,4,57,64,57,9728,bf16,fp8,8,0.87,0.87,dense,0,0,0,1,2.5852,45122,1.1,0.9,medium
265,3840,4,60,64,15,10240,bf16,fp8,16,0.87,0.87,dense,0,0,0,1,2.5872,45191,1.0,0.9,medium
266,3584,5,56,64,1,9536,bf16,fp8,8,0.87,0.87,dense,0,0,0,1,2.5955,43081,1.2,0.9,low
267,3840,4,60,64,15,10240,bf16,fp8,8,0.87,0.87,dense,0,0,0,1,2.5992,45191,1.0,0.9,medium
268,3968,4,31,128,1,10560,bf16,fp8,8,0.89,0.89,dense,0,0,0,1,2.6278,44298,1.0,0.9,low
269,3968,4,62,64,1,10560,bf16,fp8,16,0.88,0.88,dense,0,0,0,1,2.6335,44424,1.0,0.9,low
270,3904,4,61,64,1,10432,bf16,fp8,16,0.86,0.86,dense,0,0,0,1,2.6359,45613,1.0,0.9,low
271,3904,4,61,64,1,10432,bf16,fp8,8,0.86,0.86,dense,0,0,0,1,2.6478,45613,1.0,0.9,low
272,2880,8,45,64,1,7680,bf16,fp8,4,0.85,0.85,dense,0,0,0,1,2.6499,40137,1.6,0.8,low
273,3264,6,51,64,1,8704,bf16,fp8,4,0.85,0.85,dense,0,0,0,1,2.6935,42607,1.3,0.9,low
274,3904,4,61,64,1,10432,bf16,fp8,4,0.86,0.86,dense,0,0,0,1,2.7792,45613,1.0,0.9,low
