rank,d_model,n_layers,n_heads,d_head,n_kv_heads,ffn_dim,weight_prec,ffn_prec,kv_bits,active_params_B,total_params_B,moe_style,n_experts,top_k,expert_dim,ep,predicted_loss,training_tps,serving_tbt_ms,memory_gb,confidence
51,3072,8,48,64,24,8192,fp8,fp8,16,1.03,1.03,dense,0,0,0,1,2.6229,33182,2.0,1.4,medium
52,4096,4,32,128,4,10944,bf16,fp8,8,0.95,0.95,dense,0,0,0,1,2.6280,37366,1.1,1.2,low
53,2560,9,10,256,10,6848,fp8,fp8,16,0.87,0.87,dense,0,0,0,1,2.6295,19409,1.9,1.4,medium
54,3968,4,62,64,1,10560,bf16,fp8,8,0.88,0.88,dense,0,0,0,1,2.6455,44424,1.0,0.9,low
55,2688,8,42,64,42,7168,fp8,fp8,8,0.87,0.87,dense,0,0,0,1,2.7030,37832,1.9,1.2,low
56,3072,7,24,128,1,8192,fp8,fp8,8,0.86,0.86,dense,0,0,0,1,2.7158,19609,1.7,1.6,low
57,2816,8,22,128,11,7488,fp8,fp8,4,0.88,0.88,dense,0,0,0,1,2.8070,32429,1.7,1.0,low
58,2944,7,46,64,23,7872,fp8,fp8,4,0.86,0.86,dense,0,0,0,1,2.8119,16352,1.6,1.5,low
59,2560,10,40,64,10,6848,fp8,fp8,4,0.85,0.85,dense,0,0,0,1,2.8128,34088,2.0,1.0,low
60,2880,8,45,64,1,7680,fp8,fp8,4,0.85,0.85,dense,0,0,0,1,2.8401,40137,1.6,0.9,low
