rank,selected,is_baseline,changes,risk_label,risk_score,quality_preserving,move_class,quality_risk_pct,tp,d_model,n_layers,n_heads,d_head,n_kv_heads,ffn_dim,ffn_precision,kv_bits,params_B,predicted_loss,training_tps,serving_tbt_ms,serving_ttft_ms,memory_gb,kv_cache_gb,confidence
153,False,False,n_layers: 32 -> 31; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,medium,1.75,False,precision,1.598,8,4096,31,32,128,8,14336,fp8,8,7.02,2.057,22828,5.08,16.69,0.96,0.061,high
154,False,False,ffn_dim: 14336 -> 13632; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,medium,1.5,False,precision,1.626,8,4096,32,32,128,8,13632,fp8,8,6.96,2.0576,22665,5.22,16.84,0.95,0.062,high
155,False,False,n_layers: 32 -> 33; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 15744,high,3.75,False,architecture,1.654,8,4096,33,32,128,1,15744,bf16,16,7.79,2.0582,10938,6.2,36.55,1.99,0.016,medium
156,False,False,n_layers: 32 -> 33; ffn_dim: 14336 -> 12928; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,high,2.75,False,precision,1.67,8,4096,33,32,128,8,12928,fp8,8,6.89,2.0585,22538,5.36,16.96,0.94,0.064,high
157,False,False,n_layers: 32 -> 34; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 15040,high,4.0,False,architecture,1.686,8,4096,34,32,128,1,15040,bf16,16,7.72,2.0588,10900,6.34,36.7,1.97,0.017,medium
158,False,False,n_layers: 32 -> 30; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,medium,2.5,False,precision,1.706,8,4096,30,32,128,8,14336,fp8,8,6.81,2.0592,23586,4.92,16.16,0.93,0.059,high
159,False,False,n_layers: 32 -> 31; ffn_dim: 14336 -> 13632; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,medium,2.25,False,precision,1.727,8,4096,31,32,128,8,13632,fp8,8,6.76,2.0597,23393,5.06,16.32,0.93,0.061,high
160,False,False,n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 15744,high,3.0,False,architecture,1.747,8,4096,32,32,128,1,15744,bf16,16,7.56,2.0601,11280,6.01,35.44,1.93,0.016,medium
161,False,False,ffn_dim: 14336 -> 12928; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,medium,2.0,False,precision,1.764,8,4096,32,32,128,8,12928,fp8,8,6.69,2.0604,23240,5.19,16.45,0.92,0.062,high
162,False,False,n_layers: 32 -> 33; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 15040,high,3.25,False,architecture,1.773,8,4096,33,32,128,1,15040,bf16,16,7.5,2.0606,11230,6.15,35.62,1.92,0.016,medium
163,False,False,n_layers: 32 -> 34; n_kv_heads: 8 -> 1,high,3.5,False,architecture,1.813,8,4096,34,32,128,1,14336,bf16,16,7.43,2.0614,11199,6.28,35.74,1.9,0.017,medium
164,False,False,n_layers: 32 -> 30; ffn_dim: 14336 -> 13632; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,high,3.0,False,precision,1.836,8,4096,30,32,128,8,13632,fp8,8,6.55,2.0619,24170,4.89,15.79,0.9,0.059,high
165,False,False,n_layers: 32 -> 31; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 15744,high,3.75,False,architecture,1.848,8,4096,31,32,128,1,15744,bf16,16,7.33,2.0621,11643,5.82,34.33,1.88,0.015,medium
166,False,False,n_layers: 32 -> 31; ffn_dim: 14336 -> 12928; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,high,2.75,False,precision,1.866,8,4096,31,32,128,8,12928,fp8,8,6.49,2.0625,23987,5.03,15.94,0.89,0.061,high
167,False,False,n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 15040,medium,2.5,False,architecture,1.867,8,4096,32,32,128,1,15040,bf16,16,7.28,2.0625,11580,5.96,34.54,1.87,0.016,medium
168,False,False,n_layers: 32 -> 33; n_kv_heads: 8 -> 1,high,2.75,False,architecture,1.9,8,4096,33,32,128,1,14336,bf16,16,7.22,2.0632,11538,6.1,34.69,1.85,0.016,medium
